Venue Name,Location,Capacity,Type,Available Equipments,Availability,Budget,Event Type
Grand Imperial Banquet,Delhi,100-500,Indoor,"Mic, Décor, A/C",10 AM - 9 PM,15000,"Wedding, Birthday"
Orchid Hotel Ballroom,Mumbai,50-200,Indoor,"Projector, WiFi, Seating",9 AM - 8 PM,25000,"Corporate Event, Conference"
Seven Seas Banquet,Bangalore,1000-3000,Indoor,"Stage, Sound System, Parking",10 AM - 10 PM,40000,"Wedding, Concert"
Green Valley Resort,Jaipur,300-1200,Outdoor,"Garden, Catering",6 PM - 12 AM,35000,"Wedding, Exhibition"
White House Party Palace,Kolkata,2000,Indoor,"Mic, Décor, Musical Instruments",10 AM - 9 PM,25000,"Wedding, Corporate Event"
Royal Heritage Hall,Chennai,500-1500,Indoor,"Projector, Stage, Sound System",9 AM - 11 PM,30000,"Corporate Event, Conference"
Lotus Grand Banquet,Hyderabad,200-700,Indoor,"AC, Sound System, Lighting",11 AM - 10 PM,18000,"Reception, Engagement"
Sunshine Gardens,Pune,800-2500,Outdoor,"Seating, Valet Parking, Catering",6 PM - 12 AM,45000,"Wedding, Festival"
Oceanview Convention Center,Goa,100-1000,Indoor,"Mic, Sound System, Lighting",9 AM - 9 PM,32000,"Conference, Concert"
Royal Orchid Lawns,Ahmedabad,500-2000,Outdoor,"Catering, Lighting, Seating",7 PM - 12 AM,38000,"Wedding, Birthday"
Blue Sapphire Banquet,Lucknow,150-600,Indoor,"Projector, Sound System, AC",10 AM - 8 PM,27000,"Corporate Event, Exhibition"
Grand View Party Hall,Indore,300-1200,Indoor,"Stage, Sound System, Lighting",11 AM - 10 PM,29000,"Wedding, Concert"
Elite Banquet Hall,Bhopal,50-300,Indoor,"WiFi, Seating, Décor",9 AM - 7 PM,14000,"Birthday, Reception"
Green Acres Farmhouse,Chandigarh,500-1500,Outdoor,"Catering, Lighting, Parking",6 PM - 12 AM,41000,"Wedding, Corporate Event"
Galaxy Banquet and Lounge,Jaipur,200-800,Indoor,"Mic, Projector, Sound System",9 AM - 11 PM,23000,"Conference, Seminar"
Serene Waters Resort,Kochi,800-2500,Outdoor,"Seating, Catering, AC",7 PM - 1 AM,48000,"Wedding, Reception"
Royal Grand Banquet,Nagpur,100-700,Indoor,"Lighting, Stage, Parking",10 AM - 9 PM,21000,"Corporate Event, Birthday"
Diamond Hall,Vadodara,50-250,Indoor,"Projector, WiFi, Seating",9 AM - 7 PM,16000,"Seminar, Conference"
Golden Pearl Banquet,Surat,300-1000,Indoor,"Sound System, AC, Décor",10 AM - 10 PM,31000,"Reception, Wedding"
Regal Convention Center,Noida,500-2000,Indoor,"Mic, Projector, Sound System, WiFi",9 AM - 10 PM,36000,"Conference, Seminar"
Paradise Banquets,Faridabad,200-800,Indoor,"Seating, Catering, Parking",10 AM - 11 PM,27000,"Wedding, Reception"
Sunset Lawns and Resort,Udaipur,1000-3000,Outdoor,"Garden, Stage, Valet Parking",6 PM - 1 AM,55000,"Festival, Wedding"
Moonlight Event Hall,Mysore,150-700,Indoor,"Projector, WiFi, AC",9 AM - 8 PM,25000,"Corporate Event, Meeting"
